Author,precision,recall,f1-score,support
Abhi Dhar,1.0,0.7333333333333333,0.846153846153846,45
Joel Holdsworth,1.0,0.7333333333333333,0.846153846153846,15
Michael Dickey,0.9473684210526315,1.0,0.972972972972973,396
Mignon Belongie,1.0,0.8461538461538461,0.9166666666666666,13
Serge,1.0,0.75,0.8571428571428571,4
Sergei Nikulov,1.0,1.0,1.0,4
Vladimir Shcherbakov,1.0,0.625,0.7692307692307693,8
micro avg,0.954639175257732,0.954639175257732,0.954639175257732,485
macro avg,0.9924812030075189,0.8125457875457877,0.8869029940458512,485
weighted avg,0.9570265870862723,0.954639175257732,0.9516816748775512,485
