repo_name,num_unique_authors,num_functions,num_lines_of_code,avg_lines_of_code
allwpilib,7,1581,14247,9.011385199240987
android_device_lge_hammerheadcaf,5,2844,98430,34.60970464135021
android_device_moto_shamu,13,3438,124853,36.31559045956952
angle,11,2626,94630,36.03579588728103
bitcoinxt,7,1506,51035,33.887782204515275
caffe,6,750,14405,19.206666666666667
clams,6,874,40850,46.73913043478261
clang-logos,38,10517,137880,13.110202529238377
Clementine,4,543,8414,15.495395948434622
core,6,1723,78482,45.54962275101567
cpp-ethereum,11,1952,57366,29.388319672131146
espressopp,8,930,17855,19.198924731182796
fbthrift,17,2998,33871,11.297865243495664
gem5,3,874,21579,24.689931350114417
icub-main,22,5300,162158,30.595849056603775
IRTK,4,425,17925,42.1764705882353
izenelib,12,2784,145017,52.08943965517241
jubatus_core,8,2344,26926,11.487201365187714
kicad-source-mirror,18,3489,178536,51.171109200343935
Learn-Algorithm,3,381,7258,19.0498687664042
mapbox-gl-native,17,4860,83007,17.07962962962963
maxcso,10,1867,47410,25.39367970005356
micro-manager,4,1338,56622,42.318385650224215
openmw,11,2253,66956,29.718597425654682
opensim-core,7,1953,96261,49.28878648233487
pcsx2,9,2994,146046,48.77955911823647
proxygen,3,671,10828,16.137108792846497
psi4public,4,679,28164,41.478645066273934
qtwebengine,4,588,10053,17.096938775510203
rust-azure,4,1202,33690,28.02828618968386
sf1r-lite,7,999,32808,32.84084084084084
skia,18,4977,115630,23.23287120755475
SkyFireEMU_406a,23,5428,235335,43.35574797347089
tigervnc,3,1101,59874,54.381471389645775
tpjs,4,473,11866,25.086680761099366
upm,4,879,23338,26.550625711035266
vermont,5,808,21841,27.030940594059405
